id,host_response_rate,host_listings_count,host_has_profile_pic,host_identity_verified,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,Label,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,host_response_time_nan,property_type_Apartment,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60,host_tenure,is_new_host,number_of_host_verifications,Amenties Include TV,Amenties Include Air conditioning,Amenties Include Wheelchair accessible,Amenties Include Elevator,Amenties Include Washer,Amenties Include Dryer,Amenties Include Internet,Amenties Include Wifi,Amenties Include Gym,Amenties Include parking,Amenties Include Pets,Amenties Include Dishes and silverware,Amenties Include Coffee maker,Amenties Include Microwave,Amenties Include Refrigerator,offers_weekly_price,offers_monthly_price,charges_security_deposit,charges_cleaning_fee
34420814.0,97.0,10.0,1.0,0.0,3.0,1.0,1.0,1.0,60.0,227.13888704649463,55.0,2.0,35.0,1.0,7.0,0,0,0,0.0,3.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,84.0,0,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
34421507.0,92.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,130.0,0.0,50.0,1.0,0.0,2.0,28.0,0,0,0,0.0,1.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0.0,1,7,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
34432225.0,89.0,4.0,1.0,0.0,8.0,3.0,3.0,4.0,171.0,1200.0,119.0,5.0,15.0,3.0,28.0,1,0,0,1.0,3.0,0.0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1194.0,0,7,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1
34432701.0,100.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,60.0,250.0,47.0,1.0,25.0,3.0,21.0,0,0,0,0.0,2.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1601.0,0,12,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
34443205.0,100.0,1.0,1.0,0.0,6.0,1.5,3.0,3.0,135.0,227.13888704649463,75.0,1.0,0.0,2.0,30.0,1,0,0,1.0,0.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1297.0,0,5,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1
34444336.0,100.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,28.0,0.0,12.0,1.0,0.0,1.0,1125.0,0,0,0,0.0,0.0,7.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,313.0,0,5,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1
34444744.0,100.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,37.0,0.0,0.0,1.0,25.0,1.0,28.0,0,0,0,0.0,5.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,493.0,0,4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
34445192.0,100.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,79.0,0.0,0.0,1.0,25.0,2.0,1125.0,1,0,0,0.0,1.0,0.0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1221.0,0,6,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1
34449441.0,94.0,7.0,1.0,1.0,2.0,5.0,1.0,1.0,68.0,0.0,40.0,1.0,0.0,1.0,14.0,1,0,0,1.0,6.0,0.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2048.0,0,6,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
34453828.0,90.0,7.0,1.0,0.0,2.0,1.0,1.0,1.0,100.0,0.0,0.0,2.0,5.0,1.0,1125.0,1,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.0,1,2,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1
34464505.0,94.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,100.0,227.13888704649463,35.0,1.0,15.0,2.0,1125.0,0,0,0,2.0,2.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1972.0,0,9,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
34465167.0,100.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,178.0,100.0,75.0,1.0,0.0,2.0,10.0,1,0,0,1.0,0.0,0.0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1549.0,0,5,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
34468721.0,100.0,5.0,1.0,1.0,10.0,2.0,3.0,4.0,290.0,100.0,100.0,5.0,25.0,1.0,28.0,1,0,0,1.0,4.0,0.0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,1,4,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1
