,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,neighborhood,pop_rank,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country
25,50323f63e4b01882fa2fe2f6,Big Phil's Car,,,40.546844,-74.15705,"[{'label': 'display', 'lat': 40.546844, 'lng': -74.15705}]",Great Kills,26,,,,,
26,4d64de6d3384a0930c7ba03c,MTA Bus - Giffords La & Katan Av (S54/X7/X8),Giffords Ln,at Katan Ave,40.55386220034353,-74.15198297402576,"[{'label': 'display', 'lat': 40.55386220034353, 'lng': -74.15198297402576}]",Great Kills,27,,,,,
27,4f7ba7d3e4b00233040b2c41,Platform 9 3/4,,,40.54145842844568,-74.14878909694956,"[{'label': 'display', 'lat': 40.54145842844568, 'lng': -74.14878909694956}]",Great Kills,28,,,,,
28,4f19db1ce4b0850c828761fa,59 Bus Stop,,Posey Ave,40.544233,-74.164828,"[{'label': 'display', 'lat': 40.544233, 'lng': -74.164828}]",Great Kills,29,,,,,
29,51a9de6a498e8f4da8428e21,MTA Bus - Richmond Av & Koch Bl (S59/S89/X4/X5),Richmond Ave,at Koch Blvd,40.538003551383035,-74.15936708450317,"[{'label': 'display', 'lat': 40.538003551383035, 'lng': -74.15936708450317}]",Great Kills,30,,,,,
30,57586e79498e5e0d0dd1e0e0,MTA Bus - Richmond Av & King St (S59/X1/X4/X5),Richmond Av,at King St,40.53550033484207,-74.15605187416077,"[{'label': 'display', 'lat': 40.53550033484207, 'lng': -74.15605187416077}]",Great Kills,31,,,,,
31,4ed65789be7b890f2ad63178,S78 Bus Stop,201 Hylan,,40.554480973291206,-74.13122399068114,"[{'label': 'display', 'lat': 40.554480973291206, 'lng': -74.13122399068114}]",Great Kills,32,,,,,
32,4f3577cde4b03d9aab4606c5,PS 32 Sandalwood Bus Stop,,,40.56298334934553,-74.14755052306509,"[{'label': 'display', 'lat': 40.56298334934553, 'lng': -74.14755052306509}]",Great Kills,33,,,,,
33,4e87c4b5e5faacf4c9783f53,Great Kills Anchorage,,,40.544765,-74.127781,"[{'label': 'display', 'lat': 40.544765, 'lng': -74.127781}]",Great Kills,34,,,,,
0,4b4b2534f964a520169326e3,MTA Subway - Middletown Rd (6),Middletown Rd,Westchester Ave,40.843704609426176,-73.83634386977808,"[{'label': 'display', 'lat': 40.843704609426176, 'lng': -73.83634386977808}]",Westchester Square,1,,,,,
